state,value
Bugembe,30.31516443
Masese,28.89390334
Masese,27.95341553
Rubaga hill,28.99085374
Mpumudde,30.57350017
Mawuta,33.03750813
Nsube,39.35361044
Mutai,40.13384802
Mutai,41.12985069
Kagoma,44.77653282
Nalufenya,28.30298304
Butakanila,27.26903007
Buyubu,26.62485515
Kikabala,26.181826
Lubila,25.62040639
Bukonde,27.67876664
Nawambidi,23.04073039
Nawambidi A,23.05294885
Namayemba,23.575891
Namayemba East,24.5893318
Ndifakulya,29.51689581
Ndifakulya,29.35558303
Kimombasa,29.10797782
Musongola,28.10200745
Masaba Igenge,38.80297823
CMS,40.12283858
Kasokoso estate,41.52324492
Igulusa,44.7511703
Namungalwe T/C,56.54987169
Nambale,73.63345493
Nambale,74.58700045
Nabikoote,53.84622868
Busei,41.53788189
Bumbajje,14.5153446
Kiyoora,15.31102986
Bulonda,14.9142639
Katosi,8.61757909
Nakisunga,16.49121012
Kisilamu,18.22549185
Kitega Wanton,20.94078467
Upper Kauga,22.02391619
Vuumba,-0.003406963
Ndeeba Kakoni,-0.003408332
Bulami,-0.00340953
Kajjawo,-0.003410296
Zirobwe,-0.003409373
Namakofu,-0.003406852
Namawojja,-0.003406001
Tawalulwa,-0.003403904
Nampunge,-0.003403704
Lutete,-0.00340052
Kaliro katono,-0.003397254
Wobulenzi,-0.003392228
Galuweero,-0.003386737
Lumu,-0.003387885
Bulyake,-0.003386628
Namasujja A,-0.003385927
Namasujja A,-0.003385828
Kaasangombe,-0.003384768
Nambega,-0.003380225
Kiziba,-0.003378312
Lufula zone,-0.003378268
Church zone,-0.003378933
Kasambya A,-0.003379029
Kasambya A,-0.003379116
Kamuli,-0.003378147
Lwabijogo,-0.003374641
Nakaseta zone,-0.003374449
Central zone,-0.003374532
Magoma,-0.003377341
Kalina zone,-0.003385285
Katugo,-0.003384989
Kyankanwa,-0.003384887
Wabigalo,-0.003384406
Kansirye,-0.003385035
Nakasongola A,-0.003385092
Nakasongola A,-0.003385095
Nakasongola  ,-0.003385066
Ssasira,-0.00338002
Kigulu,14.3727814
Kibali,14.35885361
Nakigaya,16.37665075
Kigayi,17.58774677
Majija,18.43014881
Misindye upper,21.68293707
Kawuku,22.60702206
Kibuba,23.08753999
Bulagala B,#NUM!
Busuna,#NUM!
Namuyingi,#NUM!
Bulindi,#NUM!
Namaganda Butooli,#NUM!
Naminage,#NUM!
Kitayundwa,#NUM!
Kitayundwa,#NUM!
Namisambya,#NUM!
Namisambya 2,#NUM!
Bukwenge,#NUM!
Bulyampanga,#NUM!
Busobya zone,#NUM!
Wampologoma,195.5198105
Bugonda,110.4963434
Bugonda,97.05861492
Buganda,92.84435691
Namirembe,#NUM!
Nongo,#NUM!
Budada,#NUM!
Bulawula C,#NUM!
Nkokonjeru,-57.15717004
Kawuku,115.6382456
Kyabakwerere,87.86105216
Kihoima,86.45862952
Kihoima,83.51709284
Kengoma II,#NUM!
Burengye,#NUM!
Burengye,#NUM!
Nyamashegwa I,#NUM!
Kengoma II,#NUM!
Kengoma II,#NUM!
Kengoma II,#NUM!
Kengoma II,#NUM!
Nkoma,90.58396676
Kinyonza,68.86488271
Kikiri,47.70854334
Rutooma,47.56055573
Block 4,9.440284264
Block 4,9.440284264
Block 4,9.534262212
Block 4B,9.534262212
Block 4B,9.534262212
Block 12A Zone B,12.77615159
Block 12A Zone B,12.77615159
Block 12A Zone B,12.77615159
Block 12A Zone B,12.77615159
Block 12A Zone B,12.77615159
Nyalagala,27.86249595
Akelikongo North,27.61524384
Akelikongo North,27.86249595
Alelikongo North,27.61524384
Alelikongo North,27.24550934
Zone 4 Block 9,10.53016953
Zone 4 Block 9,10.53016953
Zone 4 Block 9,10.53016953
Zone 4 Block 9,10.53016953
Zone 4 Block 9,10.53016953
Zone 6 Block 6,10.69277972
Zone 6 Block 6,10.24725737
Zone 6 Block 6,10.24725737
Zone 6 Block 6,10.24725737
Ajagala,9.154862026
Ajagala,8.977273365
Ajagala,9.154862026
Ajagala,8.977273365
Ajagala,8.977273365
Ajaogala,8.457601249
Ajaogala,9.546893101
Ajaogala,7.067574112
Ajaogala,8.372616109
Ajaogala,8.478792616
Kyebando,2.328534724
Kyenda,2.360833373
Mbogo,-29.43703949
Mbogo,#NUM!
Nawamwena,-30.65552688
Kiyunga Central,-29.04303553
Kiyunga Hospital,-30.64766457
Makuutu,27.74400332
Busiimo,24.65464981
Kabojja A ,15.57496641
Kabojja B,15.90508003
Kinawa,13.89835304
Kikajjo,13.89835304
Kasenge,13.48536115
Kasenge,13.3538247
Katalemwa,-6.5727816
Katalemwa,10.20370693
Nakawuka,10.24093233
